Year,Number of swimmers,Tot number of athletes,Proportion swimmers in OS
1896,13.0,176,7.386363636363637
1900,76.0,1224,6.209150326797386
1904,32.0,650,4.923076923076923
1906,43.0,841,5.112960760998811
1908,100.0,2024,4.940711462450593
1912,120.0,2409,4.981320049813201
1920,116.0,2676,4.334828101644245
1924,169.0,3565,4.740532959326789
1928,182.0,3703,4.914933837429111
1932,128.0,2174,5.887764489420423
1936,248.0,5142,4.823026059898872
1948,249.0,5068,4.913180741910024
1952,319.0,5622,5.6741373176805405
1956,235.0,4167,5.6395488360931125
1960,380.0,6017,6.315439587834469
1964,405.0,6230,6.500802568218298
1968,468.0,6717,6.967396158999553
1972,532.0,8122,6.550110810145284
1976,471.0,7200,6.541666666666667
1980,333.0,6330,5.260663507109005
1984,494.0,8067,6.123713896119995
1988,633.0,9873,6.411425098754178
1992,641.0,11183,5.731914513100241
1996,762.0,10339,7.370151852210078
2000,954.0,10647,8.960270498732037
2004,937.0,10557,8.875627545704273
2008,1022.0,10899,9.377007064868337
2012,931.0,10517,8.852334315869545
2016,942.0,11179,8.42651399946328
1994,,1738,
1998,,2179,
2002,,2399,
2006,,2494,
2010,,2536,
2014,,2745,
