Year,Medal,Age
1896,10,18.714285714285715
1900,31,21.772727272727273
1904,39,22.933333333333334
1906,21,22.50877192982456
1908,27,21.829457364341085
1912,45,21.035353535353536
1920,49,22.042944785276074
1924,55,20.613636363636363
1928,56,20.31304347826087
1932,51,20.158823529411766
1936,55,20.005797101449275
1948,56,20.68452380952381
1952,56,20.694444444444443
1956,67,20.23489932885906
1960,105,19.365231259968102
1964,121,19.28125
1968,155,18.601301871440196
1972,160,18.49561053471668
1976,133,18.177404295051353
1980,131,18.482573726541556
1984,152,19.39300582847627
1988,167,19.837180286961946
1992,169,20.333746898263026
1996,181,20.658088235294116
2000,185,21.50890292935095
2004,185,21.89060568603214
2008,200,22.297884505431675
2012,195,22.482444733420024
2016,191,22.715561224489797
